Instance File,Number of Nodes,Number of Edges,Expected K,K,Execution Time,Solution found,Notes
anna,138,986,11,11,0.004,True,
david,87,812,11,11,0.002,True,
fpsol2.i.1,496,11654,65,65,0.102,True,
fpsol2.i.2,451,8691,30,30,0.101,True,
fpsol2.i.3,425,8688,30,30,0.104,True,
games120,120,1276,9,9,0.004,True,
homer,561,3258,13,13,0.045,True,
huck,74,602,11,11,0.001,True,
inithx.i.1,864,18707,54,54,0.305,True,
inithx.i.3,621,13969,31,31,0.244,True,
jean,80,508,10,10,0.001,True,
le450_15b,450,8169,15,17,0.135,True,
le450_15c,450,16680,15,24,0.270,True,
le450_15d,450,16750,15,24,0.271,True,
le450_25a,450,8263,25,25,0.116,True,
le450_25b,450,8263,25,25,0.116,True,
le450_25c,450,17343,25,29,0.264,True,
le450_25d,450,17425,25,29,0.267,True,
le450_5a,450,5714,5,10,0.096,True,
le450_5b,450,9803,5,11,0.159,True,
le450_5c,450,9803,5,6,0.154,True,
le450_5d,450,9757,5,12,0.162,True,
miles1000,128,6432,42,42,0.012,True,
miles1500,128,10396,73,73,0.021,True,
miles250,128,774,8,8,0.002,True,
miles500,128,2340,20,20,0.005,True,
miles750,128,4226,31,31,0.008,True,
myciel3,11,20,4,4,0.001,True,
myciel4,23,71,5,5,0.000,True,
myciel5,47,236,6,6,0.001,True,
myciel6,95,755,7,7,0.003,True,
myciel7,191,2360,8,8,0.017,True,
queen11_11,121,3960,11,15,0.009,True,
queen13_13,169,6656,13,17,0.023,True,
queen5_5,25,320,5,5,0.000,True,
queen6_6,36,580,7,10,0.000,True,
queen7_7,49,952,7,11,0.001,True,
queen8_12,96,2736,12,12,0.006,True,
zeroin.i.1,211,4100,49,49,0.019,True,
